date;board;period;auto;sended;text
2025.10.02;home;1y;0;1;Термопаста. 43градуса при 100% загрузке
2026.02.05;home;1m;0;1;Продуть комплюктер
2026.02.28;work;1m;0;1;Помыть машину, пропылесосить, протереть салон
2026.02.28;work;1m;0;1;Перебрать барахло в рюкзаке
2026.03.07;work;8d;0;1;Позвонить Бабушке
2026.03.08;work;6d;1;0;Удалить лишние будльники на телефоне
2026.03.08;work;1m;1;0;Проверять место на рабочем компе на диске ( ncdu / )
2026.03.08;work;7d;1;0;Зафиксировать телефонный трафик
2026.03.09;home;7d;1;0;Наточить нож
2026.03.09;home;21d;1;0;Всыпать борную
2026.03.09;work;1m;0;0;Подстричь Ваню
2026.03.09;work;1m;0;0;Мини ТО, барахло, огнетушитель
2026.03.09;work;1m;0;0;Перечитать список ТО
2026.03.10;home;6d;1;0;Съесть что-то из морозилки
2026.03.10;home;6d;1;0;Сделать что-то у Тани
2026.03.10;work;7d;1;0;Проверить кптп перед средовым проездом
2026.03.10;work;7d;1;0;Собрать сумку на бокс. Кеды. + Шлемы
2026.03.10;work;8d;0;0;Позвонить Андрюше
2026.03.10;work;1m;0;0;Пересмотреть все напоминалки
2026.03.10;work;1m;0;0;Продать привод
2026.03.10;work;6d;0;0;Стрижательный день
2026.03.10;work;1y;1;0;Поздравить с др Спица Людмила Анатольевна
2026.03.11;work;6d;1;0;Докачать яндекс музыку в телефон
2026.03.11;work;7d;1;0;Проверить хаши бэкапы
2026.03.11;home;7d;1;0;Помыть полы
2026.03.11;work;7d;1;0;Бэкапнуть keep
2026.03.12;work;6d;1;0;Перезагрузить телефон
2026.03.12;home;7d;1;0;Орбиталка
2026.03.12;work;7d;1;0;Собрать сумку на бокс. Кеды
2026.03.12;home;1m;0;1;Cъездить с Ваней в гости к Андрюше
2026.03.12;home;1m;1;0;Выложить квитанции из почтового ящика
2026.03.13;work;6d;1;0;Периодически писать Ване, Кириллу, Димону, Веталю, Серому, Андрюхе
