11.07;;
;согласовались с Пашей;
;гитлфс;
10.07;;
;развернуть винду;Бэкапнуть keep, таблицу tasks
;виндовый раннер;
;хабаровск, спд, маршрут;
;подготовил плейбук для установки гитлфс;
09.07;;
;получил ключи КБЖ;
;пайплайн аскол;
;ключ настенко;
;пакм хабаровск;
08.07;;
;беды с пайплайном аскол и багетом;
;починить багет;
;прикручивал диски;
07.07;;
;распедалил днс ттм;
;вопросы по гитлабу;
06.07;;
;вики;
;веб иде;
;объявить в хексенхаммере и в элементе;
;синхронизироваться на выходных;
;давай завтар редирект теперь проверим;
05.07;;
;хотелка Хилкова;Спросить дипсик - что делать с растяжкой
;элемент проверить;
04.07;;
;ТВФ Высочино проблема в сборке;Днюхи ниас в напоминалки
;Сделал ключ Назарову однофамильцу;Позвонить Андрюше
;1. Исправить дбсервис на линукс. 2. DocServ - имя образа 3. Переменная в техновизорах;
;резолв докерхаб, с производства, сертификат;
;Перепилить синхронизацию корзин;
03.07;;
;ТВФ камеры;спросить Ключко потестить статистику на Омске
;бп беляеву;Нарисовать блоки питания Роме
;Как Тагер выпустит - переслать 5 ключей КБЖ;
;Разобрались с проблемой с ишью Ткачёва;
;Общался со всеми по тестированию гитлаба спасибо;
02.07;;
;Семёну Настенко по задаче ЕМДПП;
;Запустил новый ДКБ на Омске с Челяюинскими коэфициентами;
;С обновлением по Батайску вчера как в том анекдоте студент сантехнику помогал - ключи подавал;
;Написать что делать московским;
01.07;;
;Поволновались по ДКБ;Законспектировать выкат релиза
;По днс общались спасибо;Допилить ген конфиг с кастомными сроками
;Роботам дали трёх студентов разметчиков - выдал им ключи впн ограниченные сразу на ммесяц;Сырые семачки
;84 розетка;Возобновить таблетки
;Чёто оборзел вчера навайбкодил плейбук и сломал половину виртуалок. Так что на них вообще ничего не работало. Даже под судо. И под рутом не зайти;
;Выпустил сертификат для нового докер реджистри, раскидал его по раннерам;
;Дотнет на раннеры поставить;
30.06;;
;Аким;
;Технологическое ПО Головачевой;
;Заказать ключи на производство;
;В понедельник раздать всем днс и серты;
;В понедельник протестить у кольченко хостс;
;Решил проблему с определением локальной сети бинд9;
29.06;;
;Поработал с Тюменью;Возобновить Ване список дел
28.06;;
;Лфс перелил скриптом;Планировать себе с утра по три нииасовских и личных задачи
;Веб иде починил;Переехал на яндекс, переоформил
;Пайплайн ппсс отработал ;Перебрать текущие задачи в другом разрезе
;Сделал мерж реквест с откатом библиотеки геникам для релиза ппсс для омска;
27.06;;
;Питер ангальд;
;Cинхронизировать бекапы;
;Перенёс скриптом содержимое корзины lfs-objects, почему то с ней одной проблемы были;
26.06;;
;мержнуть ленинадс;Сделать напоминалки про футбол в общий чат.
;Рестартнуть впн;
;тестировал днс на винде и убунте у коллег;Протереть кроксы
;прописал всем клиентам на сервере опен впн автонастройку днс;Упаковочная бумага
25.06;;
;проверил ночной бэкап;
;перелил рсинком на гитлаб;
24.06;;
;Беду с созданием ветки решил;Позвонить Андрюше
;Беда с багетом;Напоминалка разморозить утку перед 12 06я.
23.06;;
;Батайск конфиг сравнить;Передать паше его затею хостварс
;Установить ЦА на все тачки;
;Днс на все тачки;
;Серт багету;
;Влить заметки конфиглаб bind9;
;Днс багету;
21.06;;
;Залить бинд9 в конфиглаб;
20.06;;
;Автонастройка днс сервера;Ване список литературы
;Протестить ссл с репой;
;Выпустить серт для нового гитлаба;
19.06;;
;Автаев Питер;
;Допилить резолв из локалки;
;Ткачев;
18.06;;
;Запилил bind9;
;Пробросить порт 53 на 8600 номадом;
;Документировать ПАКМ статьями. Сделать репу. (уникальный Каменск, перепутка педалей);
;Написать задачу на Головачеву;
;Элемент;
17.06;;
;Ривкин;Перенести сюда архив рабочих задач из кипа
;;Коммуналку заплатить
;;Бэкапнуть таблицу пакм
;;Проверить хаши бэкапы
;;Бэкнапнуть keep
;;Напоминалка ветчина в среду
;;Чёто отписаться по тамани
;;Стянуть робинзона. Вписать в задачи: Сервис, отслеживающий состояние сцен и при их изменении, регенерирующий диаграмму.
16.06;;
;Попробую вот эту штуку с днс сервером и гитлабом проэкспериментировать;Забрать али
;Синхрон с Пашей по ansible;
